question_id,answer,template,help_text
52,purchase cost and cost of conversion,"Inventories
 Inventories are stated at the lower of cost and estimated selling price less costs to complete and sell. Cost include all purchase cost and cost of conversion.
 The cost of finished goods and work in progress comprises packaging costs, raw materials, direct labor, other direct costs and related production overheads. At each reporting date, inventories are assessed for impairment. If inventory is impaired, the carrying amount is reduced to its selling price less costs to complete and sell; the impairment loss is recognized immediately in profit or loss.
 When the circumstances that previously caused inventories to be impaired no longer exist or when there is clear evidence of an increase in selling price less costs to complete and sell because of changed economic circumstances, a reversal of the impairment is recognized so that the new carrying amount is the lower of the cost and the revised selling price less costs to complete and sell. Any impairment reversal in recognized in profit or loss but is limited to the amount of the original impairment loss recognized.
 When inventories are sold, the carrying amount of those inventories is recognized as an expense in the period in which the related revenue is recognized.",
52,purchase cost and other related cost incurred in bringing the inventories to their present location and condition,"Inventories
 Inventories are stated at the lower of cost and estimated selling price less costs to complete and sell. Cost include all purchase cost and other related cost incurred in bringing the inventories to their present location and condition.
 The cost of finished goods and work in progress comprises packaging costs, raw materials, direct labor, other direct costs and related production overheads. At each reporting date, inventories are assessed for impairment. If inventory is impaired, the carrying amount is reduced to its selling price less costs to complete and sell; the impairment loss is recognized immediately in profit or loss.
 When the circumstances that previously caused inventories to be impaired no longer exist or when there is clear evidence of an increase in selling price less costs to complete and sell because of changed economic circumstances, a reversal of the impairment is recognized so that the new carrying amount is the lower of the cost and the revised selling price less costs to complete and sell. Any impairment reversal in recognized in profit or loss but is limited to the amount of the original impairment loss recognized.
 When inventories are sold, the carrying amount of those inventories is recognized as an expense in the period in which the related revenue is recognized.",
52,"purchase cost, conversion cost and other related cost incurred in bringing the inventories to their present location and condition","Inventories
 Inventories are stated at the lower of cost and estimated selling price less costs to complete and sell. Cost include allpurchase cost, conversion cost and other related cost incurred in bringing the inventories to their present location and condition.
 The cost of finished goods and work in progress comprises packaging costs, raw materials, direct labor, other direct costs and related production overheads. At each reporting date, inventories are assessed for impairment. If inventory is impaired, the carrying amount is reduced to its selling price less costs to complete and sell; the impairment loss is recognized immediately in profit or loss.
 When the circumstances that previously caused inventories to be impaired no longer exist or when there is clear evidence of an increase in selling price less costs to complete and sell because of changed economic circumstances, a reversal of the impairment is recognized so that the new carrying amount is the lower of the cost and the revised selling price less costs to complete and sell. Any impairment reversal in recognized in profit or loss but is limited to the amount of the original impairment loss recognized.
 When inventories are sold, the carrying amount of those inventories is recognized as an expense in the period in which the related revenue is recognized.",
54,lessor,,
54,lessee,,
54,both,,
55,Finance Lease,"The Company as lessor
 Amounts due from lessees under finance leases are recorded as receivables at the amount of the Company’s net investment in the leases. Finance lease income is allocated to accounting periods so as to reflect a constant periodic rate of return on the Company’s net investment outstanding in respect of the leases.",
55,Operating Lease,"The Company as lessor
 Rental income from operating leases is recognized in profit or loss on a straight-line basis over the lease term, unless either another systematic basis is representative of the time pattern of the lessee’s benefit from the leased asset, even if the receipt of payments is not on that basis, or the payments to the lessor are structured to increase in line with expected general inflation (based on published indexes or statistics) to compensate for the lessor’s expected inflationary cost increases.",
56,Finance Lease,"The Company as lessee
 Assets held under finance leases are recognized as assets of the Company at their fair value or, if lower, at the present value of the minimum lease payments, each determined at the inception of the lease. The corresponding liability to the lessor is included in the statements of financial position as a finance lease obligation. 
 Lease payments are apportioned between finance charges and reduction of the lease obligation so as to achieve a constant rate of interest on the remaining balance of the liability. Finance charges are charged directly against income, unless they are directly attributable to qualifying assets, in which case they are capitalized in accordance with the Company’s general policy on borrowing costs. Contingent rentals are recognized as expense in the period in which they are incurred.",
56,Operating Lease,"The Company as lessee
 Operating lease payments are recognized as an expense on a straight-line basis over the lease term, except when another systematic basis is more representative of the time pattern in which economic benefits from the leased asset are consumed. Contingent rentals arising under operating leases are recognized as an expense in the period in which they are incurred.
 In the event that lease incentives are received to enter into operating leases, such incentives are recognized as a liability. The aggregate benefit of incentives is recognized as a reduction of rental expense on a straight-line basis, except when another systematic basis is more representative of the time pattern in which economic benefits from the leased asset are consumed.",
65,Simple retirement plan,"Employee benefit obligations 
 The liability recognized in the statement of financial position in respect of defined benefit pension plans is the present value of the defined benefit obligation at the reporting date minus the fair value of plan assets. The defined benefit obligation is measured using the projected unit credit method. The present value of the defined benefit obligation is determined by discounting the estimated future payments by reference to market yields at the reporting date on high-quality corporate bonds that are denominated in the currency in which the benefits will be paid, and that have terms to maturity approximating to the terms of the related pension liability.
 Actuarial gains and losses are [charged to profit or loss or credited to other comprehensive income] in the period in which they arise. 
 Past-service costs are recognized immediately in profit or loss. For defined contribution plans, the group pays contributions to publicly or privately administered pension insurance plans on a mandatory or contractual basis. The contributions are recognized as employee benefit expense when they are due. If contribution payments exceed the contribution due for service, the excess is recognized as an asset.
 
 Retirement benefit costs represents the payments made to state-managed retirement benefit schemes, such as the Philippines Central Provident Fund, are dealt with as payments to defined contribution plans and are charged as an expense as they fall due.
 Employee entitlements to annual leave are recognized when they accrue to employees. A provision is made for the estimated liability for annual leave as a result of services rendered by employees up to the end of the reporting period.",
65,Established contribution plan,"Employee benefit obligations 
 The liability recognized in the statement of financial position in respect of defined benefit pension plans is the present value of the defined benefit obligation at the reporting date minus the fair value of plan assets. The defined benefit obligation is measured using the projected unit credit method. The present value of the defined benefit obligation is determined by discounting the estimated future payments by reference to market yields at the reporting date on high-quality corporate bonds that are denominated in the currency in which the benefits will be paid, and that have terms to maturity approximating to the terms of the related pension liability.
 Actuarial gains and losses are [charged to profit or loss or credited to other comprehensive income] in the period in which they arise. 
 Past-service costs are recognized immediately in profit or loss. For defined contribution plans, the group pays contributions to publicly or privately administered pension insurance plans on a mandatory or contractual basis. The contributions are recognized as employee benefit expense when they are due. If contribution payments exceed the contribution due for service, the excess is recognized as an asset.
 
 The Company maintains a defined contribution (DC) plan that covers all regular full-time employees. Under its DC plan, the Company pays fixed contributions based on the employees‘ monthly salaries. The Company, however, is covered under Republic Act (RA) No. 7641, The Philippine Retirement Law, which provides for its qualified employees a defined benefit (DB) minimum guarantee. The DB minimum guarantee is equivalent to a certain percentage of the monthly salary payable to an employee at normal retirement age with the required credited years of service based on the provisions of RA 7641.
 Accordingly, the Company accounts for its retirement obligation under the higher of the DB obligation relating to the minimum guarantee and the obligation arising from the DC plan.",
65,None,,
