id,deleted,type,subtype,activity
45,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,PIGEON FARMING
46,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,GAME FOWL FARMING
47,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,"POULTRY FARMING, N.E.C"
48,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,CHICKEN EGG PRODUCTION
49,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,DUCK EGG PRODUCTION
50,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,QUAIL EGG PRODUCTION
51,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,"EGG PRODUCTION, N.E.C."
52,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,DAIRY FARMING: DAIRY PRODUCTS PROCESSED IN THE FARM
53,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,SERICULTURE (SILKWORM CULTURE FOR THE PRODUCTION OF COCOON)
54,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,APIARY (BEE CULTURE FOR THE PRODUCTION OF HONEY)
55,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,VERMICULTURE
56,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,FROG FARMING
57,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,RABBIT FARMING
58,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,CROCODILE/ALLIGATOR FARMING
59,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,RAISING OF SEMI-DOMESTICATED OR WILD ANIMALS
60,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,"OTHER ANIMAL FARMING, N.E.C"
61,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,OPERATION OF IRRIGATION SYSTEMS THROUGH COOPERATIVES
62,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,OPERATION OF IRRIGATION SYSTEMS THROUGH NON-COOPERATIVES
63,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,"PLANTING, TRANSPLANTING, OTHER RELATED SERVICES 03 31 PLOWING, SEEDING, WEEDING, THINNING, PRUNING SERVICES"
64,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,FERTILIZER APPLICATION
65,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,"CHEMICAL, MECHANICAL WEED, DISEASE, PEST CONTROL SERVICES"
66,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,"SERVICES TO ESTABLISH CROPS, PROMOTE THEIR GROWTH"
67,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,"HARVESTING, THRESHING, GRADING, BAILING SERVICES"
68,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,"RENTAL OF FARM MACHINERY WITH DRIVERS, CREWS"
69,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,COTTON GINNING
70,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,ARTIFICIAL INSEMINATION SERVICES
71,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,CONTRACT ANIMAL GROWING SERVICES ON A FEE BASIS
72,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,"EGG-HATCHING, SEX DETERMINATION, OTHER POULTRY SERVICES"
73,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,"SERVICES TO PROMOTE PROPAGATION, GROWTH OF ANIMALS"
74,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,FARM MANAGEMENT SERVICES
75,N,"AGRICULTURE, HUNTING, AND FORESTRY",AGRI & ANIMAL HUSBANDRY SERVICE EXCEPT VETERINARY ACTIVITIES,"AGRICULTURAL, ANIMAL HUSBANDRY SERVICE ACTIVITIES"
76,N,"AGRICULTURE, HUNTING, AND FORESTRY","HUNTING, TRAPPING & GAME PROPAGATION","HUNTING, TRAPPING WILD ANIMALS IN THE FOREST"
77,N,"AGRICULTURE, HUNTING, AND FORESTRY","HUNTING, TRAPPING & GAME PROPAGATION",PRODUCTION OF ANIMAL SKINS FROM HUNTING ACTIVITIES
78,N,"AGRICULTURE, HUNTING, AND FORESTRY","HUNTING, TRAPPING & GAME PROPAGATION","GAME PROPAGATION, BREEDING ACTIVITIES 04 90 HUNTING, TRAPPING, OTHER RELATED SERVICES N.E.C."
79,N,"AGRICULTURE, HUNTING, AND FORESTRY","FORESTRY, LOGGING, AND RELATED SERVICE ACTIVITIES",LOGGING OPERATIONS
80,N,"AGRICULTURE, HUNTING, AND FORESTRY","FORESTRY, LOGGING, AND RELATED SERVICE ACTIVITIES","GROWING OF TIMBER, PLANTING, THINNING OF TIMBER TRACTS"
81,N,"AGRICULTURE, HUNTING, AND FORESTRY","FORESTRY, LOGGING, AND RELATED SERVICE ACTIVITIES","OPERATION OF FOREST TREE NURSERIES 05 09 OTHER FORESTRY ACTIVITIES: FIREWOOD CUTTING, CHARCOAL-MAKING 06 FISHING"
82,N,FISHING,FISHING,"OCEAN FISHING, COMMERCIAL (W/ VESSELS OVER 3 TONS)"
83,N,FISHING,FISHING,"COASTAL FISHING, MUNICIPAL (W/ VESSELS LESS THAN 3 TONS)"
84,N,FISHING,FISHING,FISH CORRAL FISHING
85,N,FISHING,FISHING,"CATCHING FISH, CRABS AND CRUSTACEANS IN INLAND WATERS"
86,N,FISHING,FISHING,"GATHERING SHELLS AND CLAMS, EDIBLE, IN INLAND WATERS"
87,N,FISHING,FISHING,INLAND FISHING N.E.C
88,N,FISHING,FISHING,PRAWN CULTURE
89,N,FISHING,FISHING,"FISHPOND OPERATION (EXCEPT FISH BREEDING FARMS, NURSERIES)"
90,N,FISHING,FISHING,FISHPEN AND FISHCAGE OPERATION
91,N,FISHING,FISHING,OPERATION OF FISH BREEDING FARMS AND NURSERIES
92,N,FISHING,FISHING,OYSTER AND MUSSEL FARM OPERATION
93,N,FISHING,FISHING,OTHER MOLLUSK AND CRUSTACEAN FARM OPERATIONS N.E.C
94,N,FISHING,FISHING,PEARL CULTURE
95,N,FISHING,FISHING,PEARL SHELL GATHERING
96,N,FISHING,FISHING,SEAWEEDS FARMING
97,N,FISHING,FISHING,SERVICE ACTIVITIES INCIDENTAL TO FISHING
98,N,FISHING,FISHING,GATHERING OF LAVER AND OTHER EDIBLE SEAWEEDS
99,N,FISHING,FISHING,CATCHING AND CULTURING ORNAMENTAL (AQUARIUM) FISHES
100,N,FISHING,FISHING,GATHERING FRY
101,N,FISHING,FISHING,"OTHER FISHING ACTIVITIES, N.E.C"
102,N,MINING AND QUARRYING,METTALIC ORE MINING,GOLD ORE MINING
103,N,MINING AND QUARRYING,METTALIC ORE MINING,COPPER ORE MINING
104,N,MINING AND QUARRYING,METTALIC ORE MINING,CHROMITE ORE MINING
105,N,MINING AND QUARRYING,METTALIC ORE MINING,IRON ORE MINING
106,N,MINING AND QUARRYING,METTALIC ORE MINING,MANGANESE ORE MINING
107,N,MINING AND QUARRYING,METTALIC ORE MINING,NICKEL ORE MINING
108,N,MINING AND QUARRYING,METTALIC ORE MINING,OTHER METALLIC ORE MINING N.E.C
109,N,MINING AND QUARRYING,NON-METTALIC MINING AND QUARRYING,COAL MINING
110,N,MINING AND QUARRYING,NON-METTALIC MINING AND QUARRYING,"EXTRACTION, PRODUCTION OF CRUDE PETROLEUM, NATURAL GAS"
111,N,MINING AND QUARRYING,NON-METTALIC MINING AND QUARRYING,MARBLE QUARRYING
112,N,MINING AND QUARRYING,NON-METTALIC MINING AND QUARRYING,LIMESTONE QUARRYING
113,N,MINING AND QUARRYING,NON-METTALIC MINING AND QUARRYING,"STONE QUARRYING, EXCEPT LIMESTONE AND MARBLE"
114,N,MINING AND QUARRYING,NON-METTALIC MINING AND QUARRYING,CLAY QUARRYING
115,N,MINING AND QUARRYING,NON-METTALIC MINING AND QUARRYING,SAND AND GRAVEL QUARRYING
116,N,MINING AND QUARRYING,NON-METTALIC MINING AND QUARRYING,SILICA SAND AND SILICA STONE QUARRYING
117,N,MINING AND QUARRYING,NON-METTALIC MINING AND QUARRYING,"STONE QUARRYING, CLAY AND SAND PITS N.E.C"
118,N,MINING AND QUARRYING,NON-METTALIC MINING AND QUARRYING,"CHEMICAL, FERTILIZER MINERAL MINING: BARYTE, GUANO, PYRITE"
119,N,MINING AND QUARRYING,NON-METTALIC MINING AND QUARRYING,OIL AND GAS EXTRACTION ACTIVITIES ON CONTRACT BASIS
120,N,MINING AND QUARRYING,NON-METTALIC MINING AND QUARRYING,OIL AND GAS EXPLORATION ON CONTRACT BASIS
121,N,MINING AND QUARRYING,NON-METTALIC MINING AND QUARRYING,EXTRACTION OF SALT
122,N,MINING AND QUARRYING,NON-METTALIC MINING AND QUARRYING,OTHER NON-METALLIC MINING & QUARRYING N.E.C
123,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",SLAUGHTERING AND MEAT PACKING
124,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","PRODUCTION, PROCESSING, PRESERVING OF MEAT/MEAT PRODUCTS"
125,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","PROCESSING, PRESERVING OF FISH/FISH PRODUCTS/SEAFOODS"
126,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","PROCESSING, PRESERVING OF FRUITS AND VEGETABLES"
127,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","MANUFACTURE OF VEGETABLE, ANIMAL OILS, FATS"
128,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",PROCESSING OF FRESH MILK AND CREAM
129,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","MANUFACTURE OF MILK (POWDERED, CONDENSED, EVAPORATED)"
130,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",MANUFACTURE OF INFANTS' POWDERED MILK
131,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",MANUFACTURE OF BUTTER AND CHEESE
132,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","MANUFACTURE OF ICE CREAM, SHERBET, ICE DROP, ICE CANDY"
133,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",MANUFACTURE OF MILK-BASED INFANTS' AND DIETETIC FOODS
134,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",MANUFACTURE OF DAIRY PRODUCTS N.E.C
135,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",RICE AND CORN MILLING
136,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",MANUFACTURE OF STARCHES AND STARCH PRODUCTS
137,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",PRODUCTION OF PREPARED ANIMAL FEEDS
138,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","MANUFACTURE OF GRAIN, VEGETABLE MILL PRODUCTS NOT RICE/CORN"
139,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","DISTILLING, RECTIFYING, BLENDING OF SPIRITS"
140,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",MANUFACTURE OF WINES
141,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",MANUFACTURE OF MALT LIQUORS AND MALT
142,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","MANUFACTURE OF SOFT DRINKS, BOTTLING OF MINERAL WATERS"
143,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",BAKING OF PERISHABLE BAKERY PRODUCTS
144,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",BAKING OF DRY BAKERY PRODUCTS
145,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",MANUFACTURE OF ICE CREAM CONES AND WAFERS
146,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",MANUFACTURE OF SNACK PRODUCTS
147,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",SUGARCANE MILLING
148,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",SUGAR REFINING
149,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",MANUFACTURE OF MUSCOVADO SUGAR NOT IN THE FARM
150,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","MANUFACTURE OF SUGAR, N.E.C"
151,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","PRODUCTION OF CRUDE COOCNUT OIL, COPRA CAKE, MEALS, PELLETS"
152,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","MANUFACTURE OF COCOA, CHOCOLATE, SUGAR CONFECTIONERY"
153,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","MANUFACTURE OF MACARONI, NOODLES, FARINACEOUS PRODUCTS"
154,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",MANUFACTURE OF DESSICATED COCONUT
155,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","MANUFACTURE OF ""NATA DE COCO"""
156,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE",COFFEE ROASTING AND PROCESSING
157,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","MANUFACTURE OF ICE, EXCEPT DRY ICE"
158,N,MANUFACTURING,"MANUFACTURE OF FOOD, PRODUCTS AND BEVERAGE","MANUFACTURE OF OTHER FOOD PRODUCTS, N.E.C"
159,N,MANUFACTURING,MANUFACTURE OF TOBACCO PRODUCTS,MANUFACTURE OF CIGARETTES
160,N,MANUFACTURING,MANUFACTURE OF TOBACCO PRODUCTS,MANUFACTURE OF CIGARS
161,N,MANUFACTURING,MANUFACTURE OF TOBACCO PRODUCTS,"MANUFACTURE OF CHEWING AND SMOKING TOBACCO, SNUFF"
162,N,MANUFACTURING,MANUFACTURE OF TOBACCO PRODUCTS,CURING AND REDRYING TOBACCO LEAVES
163,N,MANUFACTURING,MANUFACTURE OF TOBACCO PRODUCTS,"TOBACCO MANUFACTURING, N.E.C"
164,N,MANUFACTURING,MANUFACTURE OF TEXTILES,"PREPARATION, SPINNING, WEAVING OF TEXTILE FIBERS"
165,N,MANUFACTURING,MANUFACTURE OF TEXTILES,FINISHING OF TEXTILES
166,N,MANUFACTURING,MANUFACTURE OF TEXTILES,PREPARATION AND FINISHING OF TEXTILES (INTEGRATED)
167,N,MANUFACTURING,MANUFACTURE OF TEXTILES,"MANUFACTURE OF MADE-UP TEXTILE ARTICLES, NOT WEARING APPAREL"
168,N,MANUFACTURING,MANUFACTURE OF TEXTILES,MANUFACTURE OF CARPETS AND RUGS
169,N,MANUFACTURING,MANUFACTURE OF TEXTILES,"MANUFACTURE OF CORDATE, ROPE, TWINE AND NETTING"
170,N,MANUFACTURING,MANUFACTURE OF TEXTILES,"MANUFACTURE OF OTHER TEXTILES, N.E.C"
171,N,MANUFACTURING,MANUFACTURE OF TEXTILES,MANUFACTURE OF KNITTED AND CROCHETED FABRICS
172,N,MANUFACTURING,MANUFACTURE OF TEXTILES,MANUFACTURE OF KNITTED OR CROCHETED UNDERGARMENTS
173,N,MANUFACTURING,MANUFACTURE OF TEXTILES,"MANUFACTURE OF KNITTED AND CROCHETED ARTICLES, N.E.C 17 40 MANUFACTURE OF EMBROIDERED FABRICS"
174,N,MANUFACTURING,MANUFACTURE OF OTHER WEARING APPAREL,"MEN'S, BOY'S GARMENT MANUFACTURING"
175,N,MANUFACTURING,MANUFACTURE OF OTHER WEARING APPAREL,"WOMEN'S, GIRL'S, BABIES' GARMENT MANUFACTURING"
176,N,MANUFACTURING,MANUFACTURE OF OTHER WEARING APPAREL,READY-MADE EMBROIDERED GARMENTS MANUFACTURING
177,N,MANUFACTURING,MANUFACTURE OF OTHER WEARING APPAREL,CUSTOM TAILORING
178,N,MANUFACTURING,MANUFACTURE OF OTHER WEARING APPAREL,CUSTOM DRESSMAKING
179,N,MANUFACTURING,MANUFACTURE OF OTHER WEARING APPAREL,MANUFACTURE OF RAINCOATS EXCEPT RUBBER OR PLASTICS
180,N,MANUFACTURING,MANUFACTURE OF OTHER WEARING APPAREL,"MANUFACTURE OF HATS, GLOVES, HANDKERCHIEFS, NECKWEAR, BELTS"
181,N,MANUFACTURING,MANUFACTURE OF OTHER WEARING APPAREL,MANUFCTURE OF OTHER WEARING APPAREL N.E.C
182,N,MANUFACTURING,MANUFACTURE OF FOOTWEAR,"TANNING, DRESSING OF LEATHER"
183,N,MANUFACTURING,MANUFACTURE OF FOOTWEAR,MANUFACTURE OF PRODUCTS OF LEATHER AND IMITATION LEATHER
184,N,MANUFACTURING,MANUFACTURE OF FOOTWEAR,MANUFACTURE OF LEATHER SHOES
185,N,MANUFACTURING,MANUFACTURE OF FOOTWEAR,MANUFACTURE OF RUBBER SHOES
186,N,MANUFACTURING,MANUFACTURE OF FOOTWEAR,MANUFACTURE OF PLASTIC SHOES
187,N,MANUFACTURING,MANUFACTURE OF FOOTWEAR,MANUFACTURE OF SHOES OF TEXTILE MATERIALS W/ APPLIED SOLES
188,N,MANUFACTURING,MANUFACTURE OF FOOTWEAR,MANUFACTURE OF WOODEN FOOTWEAR AND ACCESSORIES
189,N,MANUFACTURING,MANUFACTURE OF FOOTWEAR,"MANUFACTURE OF FOOTWEAR, N.E.C"
190,N,MANUFACTURING,"MANUFACTURE OF WOOD, WOOD PRODUCTS & CORK, EXCEPT FURNITURE; MANUFACTURE OF ARTICLES BAMBOO, CANE RATTAN & THE LIKE MANUFACTURING OF PLATING MATERIALS",SAWMILLING AND PLANING OF WOOD
191,N,MANUFACTURING,"MANUFACTURE OF WOOD, WOOD PRODUCTS & CORK, EXCEPT FURNITURE; MANUFACTURE OF ARTICLES BAMBOO, CANE RATTAN & THE LIKE MANUFACTURING OF PLATING MATERIALS","MANUFACTURE OF VENEER SHEETS, PLYWOOD, PANELS, BOARDS"
192,N,MANUFACTURING,"MANUFACTURE OF WOOD, WOOD PRODUCTS & CORK, EXCEPT FURNITURE; MANUFACTURE OF ARTICLES BAMBOO, CANE RATTAN & THE LIKE MANUFACTURING OF PLATING MATERIALS","MANUFACTURE OF BUILDER'S CARPENTRY, JOINERY, MILLWORKING"
193,N,MANUFACTURING,"MANUFACTURE OF WOOD, WOOD PRODUCTS & CORK, EXCEPT FURNITURE; MANUFACTURE OF ARTICLES BAMBOO, CANE RATTAN & THE LIKE MANUFACTURING OF PLATING MATERIALS",MANUFACTURE OF WOOD CARVINGS
194,N,MANUFACTURING,"MANUFACTURE OF WOOD, WOOD PRODUCTS & CORK, EXCEPT FURNITURE; MANUFACTURE OF ARTICLES BAMBOO, CANE RATTAN & THE LIKE MANUFACTURING OF PLATING MATERIALS",MANUFACTURE OF WOODEN CONTAINERS
195,N,MANUFACTURING,"MANUFACTURE OF WOOD, WOOD PRODUCTS & CORK, EXCEPT FURNITURE; MANUFACTURE OF ARTICLES BAMBOO, CANE RATTAN & THE LIKE MANUFACTURING OF PLATING MATERIALS",MANUFACTURE OF RATTAN AND CANE CONTAINERS
196,N,MANUFACTURING,"MANUFACTURE OF WOOD, WOOD PRODUCTS & CORK, EXCEPT FURNITURE; MANUFACTURE OF ARTICLES BAMBOO, CANE RATTAN & THE LIKE MANUFACTURING OF PLATING MATERIALS","MANUFACTURE OF ARTICLES OF CORK, STRAW, PLAITING MATERIALS"
197,N,MANUFACTURING,"MANUFACTURE OF WOOD, WOOD PRODUCTS & CORK, EXCEPT FURNITURE; MANUFACTURE OF ARTICLES BAMBOO, CANE RATTAN & THE LIKE MANUFACTURING OF PLATING MATERIALS","MANUFACTURE OF PRODUCTS OF WOOD, BAMBOO, CANES, RATTAN"
198,N,MANUFACTURING,MANUFACTURE OF PAPER & PAPER PRODUCTS,"MANUFACTURE OF PULP, PAPER, PAPERBOARD"
