id,deleted,acct_no,name,parent_id,description
72,N,300,Effects of changes in accounting policy - General Reserve,20,
73,N,400,Correction of prior period errors - General Reserve,20,
74,N,100,Gain/Loss on PPE and investment revaluation - Beginning,21,
75,N,200,Effects of changes in accounting policy - revaluation surplus,21,
76,N,300,Correction of prior period errors - revaluation surplus,21,
77,N,400,Gain/Loss on PPE and investment revaluation,21,
78,N,100,Equity-settled Employee Benefits Reserve - Beginning,23,
79,N,200,Equity-settled Employee Benefits Reserve,23,
80,N,300,Effects of changes in accounting policy - Equity settled employee benefits reserve,23,
81,N,400,Correction of prior period errors - Equity settled employee benefits reserve,23,
82,N,100,Cash Flow Hedging Reserve - Beginning,24,
83,N,200,Effects of changes in accounting policy - Cash flow hedging reserve,24,
84,N,300,Correction of prior period errors - Cash flow hedging reserve,24,
85,N,100,Foreign Currency Translation Reserve - Beginning,25,
86,N,200,Effects of changes in accounting policy - Foreign currency translation reserve,25,
87,N,300,Correction of prior period errors - Foreign currency translation reserve,25,
88,N,100,Actuarial Gains and Losses on Defined Benefit Plans - Beginning,26,
89,N,200,Effects of changes in accounting policy - actuarial gains and losses on defined benefit plans,26,
90,N,300,Correction of prior period errors - actuarial gains and losses on defined benefit plans,26,
91,N,100,Share Premium (APIC) - Beginning,27,
92,N,100,Option Premium on Convertible Notes - Beginning,28,
93,N,200,Issuance of convertible notes,28,
94,N,100,Issuance of common shares under employee share option plan,30,
95,N,200,Issuance of common shares for consulting services performed,30,
96,N,300,Buy-back of common shares,30,
97,N,400,Share issue costs,30,
98,N,500,Share buy-back costs,30,
99,N,100,Sales of Goods,31,
100,N,200,Revenue from services,31,
101,N,300,Revenue from construction contracts,31,
102,N,400,Property rental revenue,31,
103,N,100,Sales Returns - Sale of Goods,32,
104,N,200,Sales Discounts - Sale of Goods,32,
105,N,300,Sales Returns - Sale from Services,32,
106,N,400,Sales Discounts - Sale from Services,32,
107,N,500,Sales Returns - Sale from construction contracts,32,
108,N,600,Sales Discounts - Sale from construction contracts,32,
109,N,700,Sales Returns - Property Rental,32,
110,N,800,Sales Discounts - Property Rental,32,
111,N,100,Other revenue 1,33,
112,N,200,Other revenue 2,33,
113,N,300,Other revenue 3,33,
114,N,100,Sales of Goods,34,
115,N,200,Revenue from services,34,
116,N,100,Cost for discontinued operations,35,
117,N,100,"Direct Charges - Salaries, Wages and Benefits",36,
118,N,200,Direct Charges - Materials and Supplies,36,
119,N,300,Direct Charges - Inventory,36,
120,N,400,Direct Charges - Facilities,36,
121,N,500,Direct Charges - Depreciation,36,
122,N,600,Direct Charges - Rental,36,
123,N,700,Direct Charges - Outside Services,36,
124,N,800,Direct Charges - Provision for Inventory,36,
125,N,900,Direct Charges - Others,36,
126,N,1000,Direct Charges - Employee retirement benefit expense,36,
127,N,100,Impairment Loss,37,
128,N,200,Provision for Bad Debts,37,
129,N,100,Finance Costs,38,
130,N,100,Salaries and Allowances,39,
131,N,200,Employee Benefits,39,
132,N,300,Rental,39,
133,N,400,Director's Fees,39,
134,N,500,Management and Consultancy Fee,39,
135,N,600,"Janitorial, Messengerial and Security Services",39,
136,N,700,Other Outside Services,39,
137,N,800,Advertising,39,
138,N,900,Commissions,39,
139,N,1000,Repairs and Maintenance,39,
140,N,1100,Research and Development,39,
141,N,1200,Office Supplies,39,
142,N,1300,Royalties,39,
143,N,1400,Interest Expense,39,
144,N,1500,Insurance Expense,39,
145,N,1600,Representation and Entertainment,39,
146,N,1700,Transportation and Travel,39,
147,N,1800,Fuel and Oil,39,
148,N,1900,"Communication, Light and Water",39,
149,N,2000,Losses,39,
150,N,2100,Bad Debts,39,
151,N,2200,Admininistrative Expense - Depreciation,39,
152,N,2300,Amortization of Intangibles,39,
153,N,2400,Depletion,39,
154,N,2500,Charitable Contributions,39,
155,N,2600,Employee retirement benefit expense,39,
156,N,2700,NOLCO,39,
157,N,2800,Miscellaneous,39,
158,N,2900,Freight & Delivery,39,
159,N,3000,Outside Services,39,
160,N,3100,Meetings and Conferences,39,
161,N,3200,Taxes and Licenses,39,
162,N,3300,Professional Fees,39,
163,N,100,Share in Equity in {Net Earnings or Net Loss} of an Associate/ Joint Venture,40,
164,N,100,Acturial {gains or losses} on defined benefit plans,41,
165,N,100,Prior service cost amortization on defined benefit plans - COS,42,
166,N,100,Prior service cost amortization on defined benefit plans - Admin,43,
167,N,100,Distribution Cost,44,
168,N,100,Foreign exchange gains,45,
169,N,200,Foreign exchange losses,45,
170,N,100,Net value gain on cash flow hedges,46,
171,N,100,Share of other comprehensive income of jointly controlled entities,47,
172,N,100,Share of other comprehensive income of associates,48,
173,N,100,"Gain/Loss on property, plant and equipment revaluation",49,
174,N,100,Gain/Loss on disposal of investments,50,
175,N,100,Change in fair value of financial assets designated at fair value through profit or loss,51,
176,N,200,Change in fair value of financial assets classified as held for trading,51,
177,N,100,Change in fair value of financial liabilities designated at fair value through profit or loss,52,
178,N,200,Change in fair value of financial liabilities classified as held for trading,52,
179,N,100,Change in fair value of investment property,53,
180,N,100,Interest Income,54,
181,N,200,Dividend Income,54,
182,N,300,Foreign Exchange Gain - net,54,
183,N,400,Gain on Sale of Assets - net,54,
184,N,500,Other Income,54,
185,N,100,Current Tax Expense,55,
186,N,200,Tax Asset,55,
187,N,300,Tax Liability,55,
188,N,100,Input VAT,56,
189,N,200,Deferred Input VAT,56,
190,N,300,Output VAT,57,
191,N,400,Deferred Output VAT,57,
